DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2025-12-01,17,PST,S Central LA CO,CA,33.9288,-118.2108,O3,32,1,Good
2025-12-01,17,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,60,2,Moderate
2025-12-02,20,PST,S Central LA CO,CA,33.9288,-118.2108,O3,17,1,Good
2025-12-02,20,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,59,2,Moderate
2025-12-03,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,22,1,Good
2025-12-03,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,56,2,Moderate
2025-12-04,21,PST,S Central LA CO,CA,33.9288,-118.2108,O3,8,1,Good
2025-12-04,21,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,54,2,Moderate
2025-12-04,21,PST,S Central LA CO,CA,33.9288,-118.2108,O3,8,1,Good
2025-12-04,21,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,54,2,Moderate
2025-12-04,21,PST,S Central LA CO,CA,33.9288,-118.2108,O3,8,1,Good
2025-12-04,21,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,54,2,Moderate
2025-12-04,21,PST,S Central LA CO,CA,33.9288,-118.2108,O3,8,1,Good
2025-12-04,21,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,54,2,Moderate
2025-12-06,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,11,1,Good
2025-12-06,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,66,2,Moderate
2025-12-07,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,27,1,Good
2025-12-07,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,61,2,Moderate
2025-12-09,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,11,1,Good
2025-12-09,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,32,1,Good
2025-12-10,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,11,1,Good
2025-12-10,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,58,2,Moderate
2025-12-11,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,12,1,Good
2025-12-11,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,56,2,Moderate
2025-12-13,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,32,1,Good
2025-12-13,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,61,2,Moderate
2025-12-14,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,21,1,Good
2025-12-14,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,49,1,Good
2025-12-16,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,9,1,Good
2025-12-16,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,110,3,Unhealthy for Sensitive Groups
2025-12-17,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,24,1,Good
2025-12-17,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,86,2,Moderate
2025-12-18,19,PST,S Central LA CO,CA,33.9288,-118.2108,O3,12,1,Good
2025-12-18,19,PST,S Central LA CO,CA,33.9288,-118.2108,PM2.5,125,3,Unhealthy for Sensitive Groups
